country_id,city_id,city_name,attraction_id,attraction_name,attraction_type,short_description,entry_fee,currency,duration,family,months,google_map_ref,rating,reviews,created_at,updated_at
1,1,Tirana,101,Skanderbeg Square,Square,Central plaza with the National History Museum and Opera.,0,-,1,Yes,Apr-Oct,Ref,4.5,12600,3/11/2026,
1,1,Tirana,102,Bunk'Art 2,Museum,Nuclear bunker in the city center dedicated to police history.,500,ALL,1.5,Yes,Year-round,Ref,4.6,8400,3/11/2026,
1,1,Tirana,103,Pyramide of Tirana,Landmark,Recently renovated brutalist monument with city views.,0,-,1,Yes,May-Sep,Ref,4.3,5200,3/11/2026,
1,2,Saranda,201,Butrint National Park,Ancient Ruins,UNESCO world heritage site with Roman and Greek ruins.,1000,ALL,3.5,Yes,May-Sep,Ref,4.8,9100,3/11/2026,
1,2,Saranda,202,Blue Eye (Syri i Kalter),Nature,(Gem) Deep natural spring with mesmerizing blue water.,100,ALL,2,Yes,Jun-Aug,Ref,4.6,15000,3/11/2026,
1,2,Saranda,203,Lëkurësi Castle,Castle,16th-century fortress with panoramic sunset views.,0,-,1.5,Yes,Jun-Sep,Ref,4.4,4800,3/11/2026,
1,3,Gjirokastër,301,Gjirokastër Fortress,Castle,One of the largest castles in the Balkans with a museum.,400,ALL,2.5,Yes,Apr-Oct,Ref,4.7,11500,3/11/2026,
1,3,Gjirokastër,302,Zekate House,Historic House,(Gem) The finest example of Ottoman tower houses.,200,ALL,1,Yes,May-Sep,Ref,4.8,1200,3/11/2026,
1,3,Gjirokastër,303,Old Bazaar,Market,Traditional cobbled streets with artisanal crafts.,0,-,2,Yes,Apr-Oct,Ref,4.7,8900,3/11/2026,
2,,Vienna,401,Schönbrunn Palace,Palace,Imperial summer residence with vast gardens and a zoo.,22,EUR,4,Yes,May-Sep,Ref,4.8,118000,3/11/2026,
2,,Vienna,402,St. Stephen's Cathedral,Cathedral,Gothic masterpiece and symbol of the city.,0,-,1.5,Yes,Year-round,Ref,4.7,95000,3/11/2026,
2,,Vienna,403,The Prater,Amusement Park,Famous giant ferris wheel and park.,0,-,3,Yes,May-Sep,Ref,4.5,88000,3/11/2026,
2,5,Salzburg,501,Hohensalzburg Fortress,Castle,Dominant fortress on the hill above the old town.,13,EUR,2.5,Yes,Year-round,Ref,4.7,55000,3/11/2026,
2,5,Salzburg,502,Mirabell Palace,Gardens,Iconic Baroque gardens where Sound of Music was filmed.,0,-,1.5,Yes,Apr-Oct,Ref,4.7,42000,3/11/2026,
2,5,Salzburg,503,Hangar-7,Museum,(Gem) Red Bull's private collection of planes and F1 cars.,0,-,2,Yes,Year-round,Ref,4.8,15000,3/11/2026,
2,6,Hallstatt,601,Hallstatt Salt Mine,Mine,The oldest salt mine in the world with a skywalk.,36,EUR,3,Yes,Apr-Nov,Ref,9.4,12000,3/11/2026,
2,6,Hallstatt,602,Parish Church & Charnel House,Religious,Small chapel containing painted human skulls.,2,EUR,0.5,No,Year-round,Ref,4.6,3500,3/11/2026,
3,7,Brussels,701,Grand Place,Square,Most beautiful medieval square in Europe.,0,-,1.5,Yes,Year-round,Ref,4.8,155000,3/11/2026,
3,7,Brussels,702,Atomium,Landmark,Iconic futuristic 1958 structure.,16,EUR,2,Yes,May-Sep,Ref,4.4,92000,3/11/2026,
3,7,Brussels,703,Musical Instruments Museum,Museum,(Gem) Art Nouveau building with an audio guide of sounds.,15,EUR,2.5,Yes,Year-round,Ref,4.5,8500,3/11/2026,
3,8,Bruges,801,Belfry of Bruges,Tower,Iconic medieval bell tower in the market square.,14,EUR,1,No,Apr-Sep,Ref,9.4,28000,3/11/2026,
3,8,Bruges,802,Church of Our Lady,Church,"Home to Michelangelo’s ""Madonna and Child"" statue.",7,EUR,1,Yes,Year-round,Ref,4.6,15000,3/11/2026,
3,8,Bruges,803,Rosary Quay (Rozenhoedkaai),Scenic Spot,Most photographed view of the canals.,0,-,0.5,Yes,Year-round,Ref,4.9,12000,3/11/2026,
3,9,Ghent,901,Gravensteen,Castle,10th-century medieval castle with a torture museum.,12,EUR,2,Yes,Year-round,Ref,4.6,34500,3/11/2026,
3,9,Ghent,902,St. Bavo's Cathedral,Cathedral,"Home to the world-famous ""Ghent Altarpiece"".",0,-,1.5,Yes,Apr-Oct,Ref,4.7,12000,3/11/2026,
3,9,Ghent,903,Graslei & Korenlei,Scenic Spot,(Gem) Medieval quayside with stunning guild houses.,0,-,1,Yes,May-Sep,Ref,4.8,8500,3/11/2026,
4,10,Sarajevo,1001,Tunnel of Hope,History,War tunnel used during the Siege of Sarajevo.,5,EUR,1.5,No,Year-round,Ref,4.7,15000,3/11/2026,
4,10,Sarajevo,1002,Baš?aršija,Bazaar,15th-century Ottoman market and cultural hub.,0,-,2.5,Yes,May-Sep,Ref,4.8,48000,3/11/2026,
4,10,Sarajevo,1003,Vrelo Bosne,Nature,Beautiful park at the source of the Bosna River.,1,EUR,2,Yes,May-Sep,Ref,4.7,12000,3/11/2026,
4,11,Mostar,1101,Stari Most,Bridge,Iconic Ottoman bridge and symbol of the city.,0,-,1,Yes,Jun-Aug,Ref,4.9,38000,3/11/2026,
4,11,Mostar,1102,Koski Pasha Mosque,Mosque,Best panoramic view of the bridge from the minaret.,6,BAM,0.5,No,May-Oct,Ref,4.7,5200,3/11/2026,
4,11,Mostar,1103,Blagaj Tekke,Monastery,(Gem) Dervish monastery built into a cliff cave.,5,BAM,2,Yes,May-Sep,Ref,4.6,15000,3/11/2026,
4,12,Trebinje,1201,Arslanagi?a Bridge,Bridge,Elegant 16th-century Ottoman stone bridge.,0,-,0.5,Yes,Apr-Oct,Ref,4.7,3200,3/11/2026,
4,12,Trebinje,1202,Hercegova?ka Gra?anica,Monastery,Hilltop church with the best views of Trebinje.,0,-,1,Yes,Year-round,Ref,4.8,4500,3/11/2026,
4,12,Trebinje,1203,Vukoje Cellars,Winery,(Gem) Award-winning wine tasting in a scenic spot.,20,EUR,2,No,May-Sep,Ref,4.7,1200,3/11/2026,
5,14,Dubrovnik,1401,City Walls,History,Walk the perimeter of the historic UNESCO old town.,35,EUR,2.5,Yes,May-Sep,Ref,4.8,58000,3/11/2026,
5,14,Dubrovnik,1402,Mount Sr? Cable Car,Viewpoint,Best aerial views of the Old Town and Adriatic.,27,EUR,1.5,Yes,May-Oct,Ref,4.7,25000,3/11/2026,
5,13,Zagreb,1301,St. Mark's Church,Church,Famous for its colorful tiled roof with coats of arms.,0,-,0.5,Yes,Year-round,Ref,4.6,22000,3/11/2026,
5,13,Zagreb,1302,Museum of Broken Relationships,Museum,Quirky museum dedicated to failed love stories.,7,EUR,1.5,No,Year-round,Ref,4.4,14500,3/11/2026,
5,13,Zagreb,1303,Lotrš?ak Tower,Tower,(Gem) Cannon fires every day at noon from here.,2,EUR,0.5,Yes,Apr-Oct,Ref,4.5,5800,3/11/2026,
5,15,Rovinj,1501,Church of St. Euphemia,Church,Venetian-style church dominating the peninsula.,0,-,1,Yes,Jun-Sep,Ref,4.7,12000,3/11/2026,
5,15,Rovinj,1502,Balbi's Arch,Monument,The historic gateway to the Venetian old town.,0,-,0.5,Yes,Year-round,Ref,4.5,3200,3/11/2026,
5,15,Rovinj,1503,Golden Cape (Zlatni Rt),Nature,(Gem) Forest park with stunning swimming coves.,0,-,3,Yes,Jun-Aug,Ref,4.8,9500,3/11/2026,
6,16,Prague,1601,Prague Castle,Castle,The largest ancient castle complex in the world.,18,EUR,4,Yes,Year-round,Ref,4.7,155000,3/11/2026,
6,16,Prague,1602,Charles Bridge,Bridge,Iconic 14th-century stone bridge with 30 statues.,0,-,1,Yes,Apr-Oct,Ref,4.8,185000,3/11/2026,
6,16,Prague,1603,Old Town Square,Square,Home to the Astronomical Clock and Tyn Church.,0,-,2,Yes,Year-round,Ref,4.8,165000,3/11/2026,
6,17,Karlovy Vary,1701,Mill Colonnade,Architecture,Massive stone colonnade with five hot springs.,0,-,1,Yes,May-Sep,Ref,4.6,12000,3/11/2026,
6,17,Karlovy Vary,1702,Moser Glassworks,Factory,(Gem) Famous glass factory with a museum.,12,EUR,1.5,Yes,Year-round,Ref,4.7,4500,3/11/2026,
6,17,Karlovy Vary,1703,Diana Observation Tower,Viewpoint,Funicular ride to a tower with forest views.,0,-,2,Yes,May-Oct,Ref,4.5,8200,3/11/2026,
6,18,?eský Krumlov,1801,State Castle,Castle,Renaissance castle with a unique Baroque theater.,15,EUR,3,Yes,May-Oct,Ref,4.8,24000,3/11/2026,
6,18,?eský Krumlov,1802,Vltava River Rafting,Nature,Scenic boating through the medieval town.,25,EUR,2,Yes,Jun-Aug,Ref,4.9,5000,3/11/2026,
6,18,?eský Krumlov,1803,Cloak Bridge,Bridge,(Gem) Multi-story stone bridge over a moat.,0,-,0.5,Yes,Year-round,Ref,4.8,6500,3/11/2026,
7,19,Copenhagen,1901,Tivoli Gardens,Theme Park,World's second-oldest amusement park.,20,EUR,4,Yes,May-Sep,Ref,4.6,115000,3/11/2026,
7,19,Copenhagen,1902,Nyhavn,Waterfront,Iconic canal with colorful houses and ships.,0,-,1.5,Yes,Jun-Aug,Ref,4.7,95000,3/11/2026,
7,19,Copenhagen,1903,Rosenborg Castle,Palace,(Gem) Renaissance castle with the Crown Jewels.,16,EUR,2,Yes,Apr-Oct,Ref,4.6,18000,3/11/2026,
7,20,Aarhus,2001,Den Gamle By,Museum,Open-air museum showing Danish life through ages.,22,EUR,3.5,Yes,Year-round,Ref,4.7,25000,3/11/2026,
7,20,Aarhus,2002,ARoS Art Museum,Museum,"Modern art with the ""Your Rainbow Panorama"".",22,EUR,3,Yes,Year-round,Ref,4.6,15000,3/11/2026,
7,20,Aarhus,2003,Moesgaard Museum,Museum,(Gem) Stunning archaeology and ethnography.,20,EUR,3,Yes,May-Oct,Ref,4.8,12000,3/11/2026,
7,21,Skagen,2101,Grenen,Nature,The tip where the Kattegat and Skagerrak seas meet.,0,-,2,Yes,Jun-Aug,Ref,4.8,9500,3/11/2026,
7,21,Skagen,2102,Rubjerg Knude,Landmark,Massive lighthouse surrounded by sand dunes.,0,-,2,Yes,May-Sep,Ref,4.8,15000,3/11/2026,
7,21,Skagen,2103,Råbjerg Mile,Nature,(Gem) Largest migrating sand dune in N. Europe.,0,-,2,Yes,Year-round,Ref,4.7,8200,3/11/2026,
8,,Helsinki,2201,Suomenlinna,Fortress,Sea fortress reachable by a 15-minute ferry.,0,-,4,Yes,May-Sep,Ref,4.6,32000,3/11/2026,
8,,Helsinki,2202,Rock Church,Church,Lutheran church carved into solid rock.,5,EUR,1,Yes,Year-round,Ref,4.5,25000,3/11/2026,
