food_id,country_id,food_name,food_category,is_vegetarian,is_spicy,main_ingredients,short_description,avg_price,currency,popularity,created_at,updated_at
101,1 (AL),Tavë Kosi,Main Dish,No,No,"Lamb, Yogurt",Baked lamb and rice with a yogurt-egg topping.,800,ALL,9.5,3/11/2026,
102,1 (AL),Byrek,Street Food,Yes/No,No,"Filo, Spinach/Cheese",Traditional savory pie with flaky pastry layers.,60,ALL,9.8,3/11/2026,
102,1 (AL),Borek,Street Food,Yes/No,No,"Filo, Spinach/Cheese",Traditional savory pie with flaky pastry layers.,60,ALL,9.8,3/11/2026,
103,1 (AL),Fërgesë,Main Dish,Yes/No,No,"Peppers, Tomatoes, Curd",Summer stew with cottage cheese and vegetables.,500,ALL,8.7,3/11/2026,
104,1 (AL),Flija,Main Dish,Yes,No,"Flour, Water, Cream",Multi-layered pancake cooked outdoors over fire.,650,ALL,8.2,3/11/2026,
105,1 (AL),Trilece,Dessert,Yes,No,3 types of Milk,Soft sponge cake soaked in milk and caramel.,250,ALL,9.1,3/11/2026,
106,1 (AL),Raki,Drink,Yes,No,Grapes/Plums,Strong traditional distilled fruit spirit.,150,ALL,9.4,3/11/2026,
201,2 (AT),Wiener Schnitzel,Main Dish,No,No,"Veal, Breadcrumbs","Thin, breaded and pan-fried veal cutlet.",18,EUR,9.9,3/11/2026,
202,2 (AT),Sachertorte,Dessert,Yes,No,"Chocolate, Apricot",Famous dense chocolate cake with apricot jam.,8,EUR,9.6,3/11/2026,
203,2 (AT),Apfelstrudel,Dessert,Yes,No,"Apple, Cinnamon",Flaky pastry stuffed with spiced apple filling.,6,EUR,9.5,3/11/2026,
204,2 (AT),Käsekrainer,Street Food,No,Yes,"Sausage, Cheese",Smoked sausage filled with small cheese chunks.,5,EUR,8.8,3/11/2026,
205,2 (AT),Tafelspitz,Main Dish,No,No,"Beef, Vegetables",Boiled beef served with apple-horseradish sauce.,22,EUR,8.4,3/11/2026,
206,2 (AT),Almdudler,Drink,Yes,No,Alpine Herbs,Iconic carbonated herbal soft drink.,3,EUR,8.9,3/11/2026,
301,3 (BE),Moules-Frites,Main Dish,No,No,"Mussels, Potatoes",Steamed mussels served with classic Belgian fries.,24,EUR,9.4,3/11/2026,
302,3 (BE),Carbonnade Flamande,Main Dish,No,No,"Beef, Dark Beer",Sweet-savory beef stew braised in Belgian beer.,20,EUR,9.1,3/11/2026,
303,3 (BE),Belgian Waffle,Street Food,Yes,No,"Dough, Sugar","Thick, sweet waffle with deep square pockets.",4,EUR,9.8,3/11/2026,
304,3 (BE),Speculoos,Dessert,Yes,No,"Spices, Flour",Traditional spiced shortcrust biscuit.,2,EUR,9.2,3/11/2026,
305,3 (BE),Pralines,Dessert,Yes,No,"Chocolate, Hazelnut",High-quality filled chocolate candies.,15,EUR,9.7,3/11/2026,
