country_id,country_name,country_code,subregion,capital_city,currency_code,currency_name,language_main,population,area_km2,avg_safety_score,visa_requirement_category,image_url1,image_url2,country_short_description,fun_fact,is_active,created_at,updated_at
1,Albania,AL,Southeast Europe,Tirana,ALL,Albanian Lek,Albanian,2751025,"28,748",55.63,No,,,"Albania is a mountainous Balkan country in Southeast Europe, bordered by the Adriatic and Ionian Seas. Known for its stunning coastal scenery, Ottoman-era towns like Berat, and rugged northern Alps, it offers a mix of Mediterranean culture and history. ","Albania is known for having over 750,000 cold-war bunkers, which are now used as cafes, museums, and homes. Additionally, Albanians shake their heads for ""yes"" and nod for ""no,"" and the country has no McDonald's. It is also famously known as ""Shqipëria,"" or the ""Land of Eagles"". Albania has one of the highest numbers of coffee shops per capita in the world.",1,3/11/2026,
2,Austria,AD,Central Europe,Vienna,EUR,Euro,German,"9,108,571","83,879",70.67,Yes,,,"Austria is a landlocked, primarily mountainous country (Alps) in Central Europe, known for its rich musical heritage, Baroque architecture, and high quality of life.","Austria is home to the world's oldest continuously operating zoo (Schönbrunn Zoo, est. 1752) and the oldest restaurant (Stiftskeller St. Peter, dating to 803 AD). It also boasts the largest ice cave on Earth, the 26-mile-long Eisriesenwelt, and over 60% of the country is covered by the Alps. When toasting with alcohol, it is considered bad luck not to maintain direct eye contact with the person. Known as the ""homeland of music,"" Austria is the birthplace of Mozart, Strauss, Schubert, and Haydn.",1,3/11/2026,
3,Belgium,BE,Northwestern Europe,Brussels,EUR,EURO,"Dutch, French and German","11,772,164","30,689",50.52,Yes,,,"Belgium is a small, densely populated Western European country known as the ""heart of Europe"" and headquarters for the EU and NATO. It features a rich cultural heritage, three official languages (Dutch, French, German), and a federal structure divided into Flanders, Wallonia, and the Brussels-Capital Region.","Belgium produces over 220,000 tons of chocolate annually, with Brussels Airport being the world's largest chocolate sales point. French fries were actually invented in Belgium. There are over 1,100–1,500 types of Belgian beer, often served in a specifically matching glass. The Manneken Pis, a statue of a peeing boy, is a national symbol. Belgians are among the tallest people in the world.",1,3/11/2026,
4,Bosnia and Herzegovina,,Southeast Europe,Sarajevo,BAM,Convertible Mark,Bosnian,"3,114,242","51,209",59.1,FALSE,,,"Bosnia and Herzegovina is a culturally diverse Balkan nation in Southeast Europe known for its mountainous terrain, Ottoman-era history, and as a meeting point of East and West. The capital, Sarajevo, features a blend of architectural styles, while the country offers stunning nature, including the Dinaric Alps and over 200 waterfalls.","The country has a unique tripartite presidency, where three members (one Bosniak, one Serb, and one Croat) rotate the role of chairman every eight months. Bosnia and Herzegovina has a very small Adriatic coastline, only about 20 km (12 miles) long, near the town of Neum. The country is home to Peru?ica, one of the last remaining primeval forests in Europe, located within Sutjeska National Park.",1,3/11/2026,
5,Croatia ,HR,Southeast Europe,Zagreb,HRK,Croatian kuna,Croatian,"3,822,345","56,594",75.76,Yes,,,"Croatia is a stunning Central/Southeast European country on the Adriatic Sea, known for its 1,000+ islands, historic coastal cities like Dubrovnik, and diverse landscapes ranging from rocky beaches to mountain forests. A former Yugoslav republic that became an EU member in 2013, it offers a rich blend of Roman, Venetian, and Central European culture.","The modern necktie originates from Croatian soldiers in the 17th century, known as cravate. Croatia has 1,246 islands, islets, and reefs, making its coastline one of the most fragmented in Europe. Dubrovnik was used as King's Landing, and the Fortress of Klis served as Meereen. Galešnjak is a famous, naturally heart-shaped island. The world’s first torpedo was constructed in Rijeka by Ivan Lupis in the 19th century. The town of Hum, in Istria, is often cited as the smallest town in the world. The island of Hvar is the sunniest spot in Europe, with over 2,800 hours of sunlight annually.",1,3/11/2026,
6,Czechia,CZ,Central Europe,Prague,CZK,Czech koruna,Czech,"10,520,550","78,871",73.26,Yes,,,"Czechia, officially the Czech Republic, is a landlocked Central European country bordered by Germany, Austria, Slovakia, and Poland. Known for its rich history, stunning, well-preserved architecture (including Prague Castle and Charles Bridge), and beer culture, it features a temperate, hilly landscape and serves as a major industrial hub in the region.","The Czech Republic is a Central European gem renowned as the world's top beer consumer (~160+ liters per capita annually) and for having the highest density of castles in Europe, with over 2,000. It boasts a rich history, featuring Prague's 15th-century astronomical clock and the 1348 Charles University. The word ""robot"" was introduced by Czech writer Karel ?apek in his 1920 play R.U.R.. Over 70% of the population goes mushroom picking annually.",1,3/11/2026,
6,Czech Republic,CZ,Central Europe,Prague,CZK,Czech koruna,Czech,"10,520,550","78,871",73.26,Yes,,,"Czechia, officially the Czech Republic, is a landlocked Central European country bordered by Germany, Austria, Slovakia, and Poland. Known for its rich history, stunning, well-preserved architecture (including Prague Castle and Charles Bridge), and beer culture, it features a temperate, hilly landscape and serves as a major industrial hub in the region.","The Czech Republic is a Central European gem renowned as the world's top beer consumer (~160+ liters per capita annually) and for having the highest density of castles in Europe, with over 2,000. It boasts a rich history, featuring Prague's 15th-century astronomical clock and the 1348 Charles University. The word ""robot"" was introduced by Czech writer Karel ?apek in his 1920 play R.U.R.. Over 70% of the population goes mushroom picking annually.",1,3/11/2026,
7,Denmark,DK,Northern Europe,Kopenhagen,DKK,Danish krone,Danish,"6,019,744","43,094",73.67,Yes,,,"As a parliamentary democracy and constitutional monarchy, it comprises the Jutland peninsula and over 400 islands. Renowned for its welfare state, cycling culture, and design, it has close ties with Greenland and the Faroe Islands.","Denmark is a flat, bicycle-loving, and environmentally conscious Scandinavian country known for being among the world's happiest nations. It features 444 islands (only 76 inhabited), the world's oldest flag, the invention of LEGO and handball, and a monarchy with over 1,000 years of history. The tap water is among the cleanest in the world. Copenhagen harbor is clean enough to swim in. Home to the world's two oldest operating amusement parks: Bakken and Tivoli.",1,3/11/2026,
8,Finland,FI,Northern Europe,Helsinki,EUR,Euro,Finnish,"5,656,394","338,455",73.71,Yes,,,"Finland, located in Northern Europe, is a Nordic nation known for its high quality of life, extensive boreal forests, and over 180,000 lakes. With a population of 5.6 million, it is a stable parliamentary democracy, EU member, and often ranked as the world's happiest country. Helsinki is the capital, while key industries include technology, forestry, and, electronics.","Finland is the world's happiest country, featuring over 3 million saunas (more than cars) and 188,000 lakes. Known as ""Suomi,"" it is famous for having the highest coffee consumption per capita, midnight sun in summer, and the home of Santa Claus in Lapland. The longest, non-compound word in the Finnish language is saippuakivikauppias (a soapstone vendor).",1,3/11/2026,
9,France,fr,Western Europe,Paris,EUR,Euro,French,"66,721,283","643,801",44.18,Yes,,,"France, officially the French Republic, is a major Western European nation known for its profound influence on art, culture, and cuisine. With a population of roughly 69 million, its capital, Paris, serves as a global hub for fashion, food, and history. It is characterized by its ""hexagonal"" shape, diverse landscapes (Alps, Mediterranean coast), and role as a top tourist destination.","France is the world's most visited country and is nicknamed L'Hexagone due to its six-sided shape. Famous for culinary excellence, it produces over 1,600 types of cheese and consumes roughly 30,000 tons of snails annually. Key facts include the Eiffel Tower growing in summer, legal marriage to the deceased, and inventing the metric system. The Lumière brothers held the first public movie screening in Paris in 1895. A world record for the longest baguette (140.53 meters) was set in 2024.  French was the official language of England for roughly 300 years following 1066. While synonymous with French breakfast, croissants were actually invented in Austria. The French consume approximately 11.2 billion glasses of wine per year.",1,3/11/2026,
10,Germany,DE,Central/Western Europe,Berlin,EUR,euro,German,"83,747,288","357,022",60.96,Yes,,,"Germany (Federal Republic of Germany) is a leading democratic nation in Central Europe with a population of over 83 million, making it the EU's most populous member. Known for its rich history, diverse landscapes—from the northern plains to the southern Alps—and economic strength, it is a key political and industrial power.","Germany has over 300 types of bread and more than 1,200 types of cake, along with 1,500+ types of sausage. Beer is considered a food in Bavaria, and the country is home to the world's oldest brewery, Weihenstephan Abbey, operating since 1040. Germans are the world's top travel spenders and boast over 26,000 football clubs. There are over 25,000 castles and fortresses across Germany. Dog owners must pay a specific tax for owning a dog. Fishing without a license and training course is a criminal offense. Gummy bears, the Christmas tree tradition, and the cuckoo clock originated in Germany. Germany is famous for long compound words, with the longest once being 79 characters.",1,3/11/2026,
11,Greece,GR,Southeast Europe,Athens,EUR,euro,Greek,"9,897,115","131,957",53.8,Yes,,,"Greece, officially the Hellenic Republic, is a Southeastern European nation located on the southern tip of the Balkan peninsula, featuring a mountainous mainland and thousands of Aegean and Ionian islands. Known as the birthplace of Western civilization and democracy, it has a rich history, a population of over 10 million, and Athens as its capital.","Greece is a sunny, mountainous nation with over 6,000 islands (only ~200 inhabited), boasting 300+ days of sun annually. Santorini is an active volcano, with its last eruption in 1950. Greeks often celebrate their ""name day"" (associated with a saint) rather than their birthday. There are over 10,000 traditional Greek dances. Greece has more olive varieties than any other country. High heels are banned at some ancient Greek sites to protect the monuments.",1,3/11/2026,
12,Hungary,,Central Europe,Budapest,HUF,Hungarian forint,Hungarian,"9,601,846","93,030",66.72,Yes,,,"Hungary is a landlocked Central European country, characterized by the Danube River, the Great Plain, and a rich, distinct culture. With Budapest as its capital and largest city, it is known for thermal spas, paprika-driven cuisine, and a unique language (Magyar). Formerly part of the Austro-Hungarian Empire, it is now a parliamentary republic and EU member.","Hungary has more thermal springs than any other European country, with over 1,500 in total and 80+ in Budapest alone. Hungarians invented the Rubik’s Cube (Ern? Rubik), the ballpoint pen (László Bíró), the electric motor, and contributed to the development of the Volkswagen Beetle. Hungarian (Magyar) belongs to the Uralic language family and is not related to neighboring Indo-European languages, making it famously difficult to learn.",1,3/11/2026,
