country_id,city_id,city_name,city_name_local,population,is_capital,coastal_flag,mountain_flag,tourism_score_raw,city_description,created_at,updated_at
1,1,Tirana,Tiranë,"530,137",Yes,No,Yes,7.8,Colorful capital with a mix of Ottoman and Soviet history.,3/11/2026,
1,2,Saranda,Sarandë,"41,173",No,Yes,Yes,8.2,The gateway to the Albanian Riviera with stunning beaches.,3/11/2026,
1,3,Gjirokastër,Gjirokastra,"25,301",FALSE,No,Yes,8.5,"(Gem) UNESCO ""Stone City"" with Ottoman-era fortress houses.",3/11/2026,
2,4,Vienna,Wien,"1,973,403",Yes,No,No,9.2,Imperial elegance known for classical music and coffee houses.,3/11/2026,
2,5,Salzburg,Salzburg,"156,872",FALSE,No,Yes,9.4,"Birthplace of Mozart, famous for Baroque architecture and Alps.",3/11/2026,
2,6,Hallstatt,Hallstatt,780,No,No,Yes,9.7,(Gem) Fairytale Alpine village reflected in a crystal lake.,3/11/2026,
3,7,Brussels,Bruxelles,"1,222,637",Yes,No,No,8.5,"The heart of Europe, famous for chocolate, beer, and art.",3/11/2026,
3,8,Bruges,Brugge,"118,509",No,No,No,9.6,"Medieval ""Venice of the North"" with perfectly preserved canals.",3/11/2026,
3,9,Ghent,Gent,"263,927",No,No,No,8.9,(Gem) Vibrant university city with a castle and a cool vibe.,3/11/2026,
44,10,Sarajevo,Sarajevo,"275,524",Yes,No,Yes,7.5,Historic meeting point of East and West in a mountain valley.,3/11/2026,
4,11,Mostar,Mostar,"105,797",No,No,Yes,9.1,Famous for its iconic Stari Most (Old Bridge) and Ottoman style.,3/11/2026,
4,12,Trebinje,Trebinje,"31,433",No,No,Yes,8,(Gem) Charming town with old stone bridges and wine culture.,3/11/2026,
5,13,Zagreb,Zagreb,"767,131",TRUE,No,Yes,8,Vibrant city with a mix of Austro-Hungarian and socialist charm.,3/11/2026,
5,14,Dubrovnik,Dubrovnik,"42,615",No,Yes,Yes,9.8,"The Pearl of the Adriatic, famous for its massive stone walls.",3/11/2026,
5,15,Rovinj,Rovinj,"14,294",No,Yes,No,9.1,(Gem) Venetian-style colorful town on the Istrian peninsula.,3/11/2026,
6,16,Prague,Praha,"1,335,084",Yes,No,No,9.5,"The City of a Hundred Spires, a Gothic and Baroque masterpiece.",3/11/2026,
6,17,Karlovy Vary,Karlovy Vary,"48,319",No,No,Yes,8.6,Famous spa town with elegant colonnades and thermal springs.,3/11/2026,
