rest_id,c_id,city_id,restaurant_name,cuisine_type,address_raw,price_tier,rating,reviews,ranking,hours,phone,website,created_at,updated_at
101,1,1,Oda,Traditional,Rruga e Bogdanëve,Midrange,4.6,3500,#1,12:00-23:00,+355 69,odarestaurant.al,3/11/2026,
102,1,1,Mullixhiu,Fine Dining,"Lake Park, Tirana",Luxury,4.7,1800,#2,13:00-22:30,+355 69,mullixhiu.al,3/11/2026,
103,1,1,Zgara Tirones,Grill,Rruga Kavajës,Budget,4.5,5200,#10,09:00-23:00,+355 68,zgaratirones.al,3/11/2026,
104,1,1,Era Blloku,Mediterranean,Rruga Ismail Qemali,Midrange,4.5,2900,#5,11:00-23:00,+355 4,era.al,3/11/2026,
201,1,2,Mare Nostrum,Seafood,Rruga Jonianet,Luxury,4.8,2100,#1,12:00-23:00,+355 69,marenostrum.al,3/11/2026,
202,1,2,Haxhi,Mediterranean,Rruga Skënderbeu,Midrange,4.7,1500,#2,11:30-22:30,+355 69,haxhisaranda.com,3/11/2026,
203,1,2,Taverna Beqo,Seafood,Saranda Port,€,4.6,1100,#5,10:00-22:00,+355 68,tavernabeqo.al,3/11/2026,
204,1,2,La Petite,French/Med,Rruga Butrinti,Midrange,4.7,850,#8,18:00-23:00,+355 85,lapetitesaranda.al,3/11/2026,
301,1,3,Odaja,Traditional,Old Bazaar,Midrange,4.8,900,#1,12:00-22:00,+355 69,odajagjiro.al,3/11/2026,
302,1,3,Mapo,Traditional,Gjirokastër Center,Budget,4.6,1200,#3,11:00-23:00,+355 69,mapogjiro.com,3/11/2026,
303,1,3,Gjoca,Grill/Balkan,Castle Area,Budget,4.5,750,#10,10:00-22:00,+355 68,gjoca.al,3/11/2026,
304,1,3,Kujtimi,Traditional,Old Bazaar,Midrange,4.4,1100,#5,12:00-23:00,+355 84,kujtimi.com,3/11/2026,
401,2,4,Steirereck,Austrian,Stadtpark,Luxury,4.8,5500,#1,11:30-23:00,+43 1 713,steirereck.at,3/11/2026,
